Year,Score,CAR,RI,SE,ST-CHE,ST-ECO,ST-ENG,ST-ENV,ST-LIF,ST-MAT,ST-PHY,ST-SOC,GF-CHE,GF-ECO,GF-ENG,GF-ENV,GF-LIF,GF-MAT,GF-PHY,GF-SOC
2024,82,,,,53.57,40.74,51.47,58.39,56.97,45.41,50.87,47.7,75,46.67,63.3,71.03,67.83,70,71.82,59.4
2024,81,,,,56.23,41.98,53.27,61.28,59.36,48.98,53.78,49.74,76.67,46.67,63.3,74.77,69.93,70,75.45,62.16
2024,80,,,,59.45,43.21,55.77,63.56,62.51,51.02,56.49,52.14,76.67,53.33,65.14,77.57,72.73,90,76.36,64.68
2024,79,,,,61.34,45.06,57.56,65.22,64.34,53.57,59.01,54.45,80,60,67.89,82.24,72.73,90,77.27,66.51
2024,78,,,,63.24,46.3,59.94,66.77,66.58,56.12,61.34,56.96,81.67,60,68.81,84.11,76.22,90,79.09,68.12
2024,77,,,,65.2,49.38,62.69,69.25,68.62,58.67,64.73,59.26,83.33,66.67,71.56,86.92,78.32,90,82.73,70.64
2024,76,,,,67.3,51.85,64.55,71.22,70.5,59.69,67.64,60.88,88.33,66.67,73.39,86.92,80.42,100,86.36,72.94
2024,75,,,,69.96,54.32,66.35,73.29,72.33,63.27,70.74,62.55,88.33,66.67,74.31,87.85,82.52,100,86.36,75
2024,74,,,,72.13,55.56,68.08,75.98,74.01,65.31,73.35,64.12,91.67,66.67,75.23,88.79,84.62,100,89.09,75.92
2024,73,,,,73.74,56.17,69.81,77.12,76.04,66.84,75.1,65.9,91.67,66.67,75.23,89.72,84.62,100,90,77.75
2024,72,,,,75.14,58.64,71.67,78.88,77.77,68.88,77.13,67.78,91.67,66.67,77.98,89.72,86.71,100,92.73,78.67
2024,71,,,,76.54,61.73,73.21,79.81,79.5,70.41,79.75,70.14,91.67,66.67,77.98,90.65,88.81,100,93.64,80.28
2024,70,,,,78.57,64.2,75.19,81.68,81.23,71.43,82.36,71.71,91.67,73.33,77.98,92.52,90.91,100,93.64,81.19
2025,100,,,,0.21,0.00,0.11,0.35,0.45,1.22,0.06,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75
2025,99,,,,0.81,0.81,1.08,1.00,1.75,3.35,1.62,1.00,5.97,0.00,0.78,0.90,1.04,0.00,2.80,2.08
2025,98,,,,2.80,2.03,3.84,3.88,4.16,5.18,4.61,2.68,10.45,6.67,2.33,5.41,3.11,0.00,6.54,5.66
2025,97,,,,7.20,4.47,8.47,8.57,8.52,10.98,9.65,6.86,14.93,6.67,11.63,16.22,7.25,12.50,13.08,9.43
2025,96,,,,12.03,6.10,13.60,13.80,13.39,16.16,14.86,11.19,23.88,6.67,17.83,26.13,12.95,18.75,22.43,14.72
2025,95,,,,17.25,9.76,20.53,19.91,19.57,21.65,21.63,15.74,26.87,6.67,24.03,30.63,20.73,25.00,32.71,20.00
2025,94,,,,22.33,11.79,26.85,26.01,25.59,28.05,27.62,19.92,34.33,6.67,32.56,35.14,27.98,25.00,40.19,24.34
2025,93,,,,28.09,13.01,33.17,31.88,31.15,33.23,33.91,24.50,43.28,13.33,37.21,44.14,33.68,37.50,47.66,30.38
2025,92,,,,33.05,16.26,39.45,39.28,37.38,38.72,40.14,29.36,47.76,20.00,42.64,48.65,37.31,50.00,55.14,37.17
2025,91,,,,39.03,19.11,44.47,43.98,43.20,45.12,45.42,33.48,50.75,20.00,44.96,51.35,44.56,62.50,61.68,42.08
2025,90,,,,44.45,22.76,50.39,49.15,48.84,48.78,51.47,38.00,56.72,20.00,51.94,54.05,49.22,62.50,66.36,48.49
2025,89,,,,50.42,26.42,55.78,54.43,54.01,53.66,57.88,42.05,59.70,26.67,57.36,61.26,57.51,68.75,71.03,52.08
2025,88,,,,54.58,31.30,61.06,58.84,59.09,57.01,61.83,46.57,67.16,26.67,63.57,66.67,61.66,68.75,73.83,56.42
2025,87,,,,58.81,34.96,65.04,63.12,63.57,59.76,65.79,50.47,68.66,26.67,73.64,71.17,64.25,75.00,77.57,59.62
2025,86,,,,63.47,41.06,68.23,67.35,67.22,66.16,69.80,54.40,73.13,46.67,75.97,74.77,67.36,75.00,80.37,63.40
2025,85,,,,67.20,47.15,72.04,70.11,71.17,69.82,72.86,58.10,73.13,60.00,81.40,78.38,72.54,81.25,84.11,67.17
2025,84,,,,71.06,52.03,74.84,73.58,74.20,73.78,75.79,61.69,74.63,66.67,82.95,80.18,76.68,81.25,85.98,70.75
2025,83,,,,74.19,54.47,77.64,76.98,76.69,75.30,79.45,64.87,79.10,66.67,87.60,81.08,78.24,87.50,87.85,74.91
2025,82,,,,77.88,58.13,80.04,79.62,79.63,78.35,82.03,67.64,82.09,73.33,87.60,83.78,81.35,87.50,90.65,78.30
2025,81,,,,80.76,61.79,82.16,81.86,82.04,81.10,84.36,70.48,85.07,73.33,90.70,86.49,82.90,87.50,90.65,80.00
2025,80,,,,82.92,65.45,84.49,83.79,84.32,82.93,86.58,73.41,85.07,73.33,91.47,89.19,84.97,87.50,91.59,82.45
2025,79,,,,84.70,69.51,86.22,85.44,86.22,84.76,88.38,75.81,88.06,73.33,93.02,90.09,87.05,87.50,93.46,84.34
2025,78,,,,86.44,71.95,87.76,86.44,87.77,85.67,90.23,78.21,91.04,73.33,93.02,91.89,88.08,87.50,93.46,86.79
2025,77,,,,88.18,73.17,89.12,88.61,88.81,87.80,91.07,80.39,91.04,73.33,93.80,91.89,89.12,93.75,94.39,87.92
2025,76,,,,89.49,74.39,90.06,89.90,90.05,89.02,92.33,82.14,94.03,80.00,95.35,93.69,91.71,93.75,94.39,89.06
2025,75,,,,91.10,76.83,91.31,90.96,90.94,89.94,93.35,84.01,95.52,86.67,95.35,93.69,92.75,93.75,94.39,90.00
2025,74,,,,92.20,78.46,92.00,92.19,91.89,90.85,94.19,85.63,97.01,86.67,95.35,93.69,93.78,93.75,94.39,91.32
2025,73,,,,92.92,80.08,93.00,92.95,92.99,91.77,94.73,86.81,98.51,86.67,95.35,96.40,93.78,93.75,95.33,92.64
2025,72,,,,93.64,81.71,93.58,93.78,94.15,92.07,95.45,87.75,98.51,93.33,95.35,96.40,93.78,93.75,95.33,93.40
2025,71,,,,94.28,83.74,94.22,94.36,94.63,93.60,95.99,88.97,98.51,93.33,97.67,96.40,95.34,100.00,95.33,94.34
2025,70,,,,95.13,84.96,94.83,94.60,95.22,93.60,96.52,89.93,98.51,100.00,97.67,96.40,95.85,100.00,95.33,94.72
