year,CAR,RI,SE,ST-CHE,ST-ECO,ST-ENG,ST-ENV,ST-LIF,ST-MAT,ST-PHY,ST-SOC,GF-CHE,GF-ECO,GF-ENG,GF-ENV,GF-LIF,GF-MAT,GF-PHY,GF-SOC
2018,91.2,92.4,87,92.8,89.4,93,92.4,93.6,92.6,90.8,92.6,92.4,93.2,90,92.6,91,94.2,90.2,90.4
2019,89.4,93,82.2,92.4,91.6,92.4,93.4,92.6,91.2,91.4,93,92,89.4,89.8,91.6,91.2,94.2,88.4,90
2020,90,92.4,88.6,93,95,94,93.6,94.4,93.8,92.4,93.4,90.2,93,92.2,91.8,90.8,93.8,92.6,90.4
2021,,,,92.8,92,92.8,93.6,94.4,92.4,92.2,93.6,92,83.8,95,95.8,95.8,92,94.2,92.8
2022,,,,91.8,89.4,92.4,92.6,93.6,92.2,92.4,93,90.2,93,92.2,91.8,90.8,93.8,92.6,90.4
2023,,,,93,89,94,95.2,94.4,92.2,92.8,94.6,95.6,96.2,95.8,97.6,95.6,97.2,94.8,96
2024,,,,93.6,92,94.8,95.2,94.2,91.4,92,94.2,95,92,96.4,95.2,96,92.8,95,96
2025,,,,96.4,95,96.8,96.8,96.8,97,97,96.4,97.6,93.4,96.4,97,95.8,97.4,97.2,96
