year,CAR,RI,SE,ST-CHE,ST-ECO,ST-ENG,ST-ENV,ST-LIF,ST-MAT,ST-PHY,ST-SOC,GF-CHE,GF-ECO,GF-ENG,GF-ENV,GF-LIF,GF-MAT,GF-PHY,GF-SOC
2018,423,593,340,1056,152,901,923,1789,194,847,1637,62,23,89,120,174,14,92,247
2019,440,647,196,1061,168,951,856,1753,181,892,1740,58,11,88,119,148,10,74,316
2020,632,707,230,1230,175,1188,1052,1929,194,993,2105,62,16,109,144,137,12,71,396
2021,,,,1062,123,1052,896,1672,163,847,1624,65,9,70,119,119,13,69,344
2022,,,,980,123,1019,777,1492,152,807,1694,42,11,82,85,103,11,57,285
2023,,,,1074,121,1016,750,1575,160,808,1580,57,8,73,84,130,9,76,397
2024,,,,1428,162,1580,988,1968,196,1032,1912,60,15,109,107,143,10,110,436
2025,,,,2360,246,2786,1703,3368,328,1669,3208,67,15,129,111,193,16,107,530
