year,CAR,RI,SE,ST-CHE,ST-ECO,ST-ENG,ST-ENV,ST-LIF,ST-MAT,ST-PHY,ST-SOC,GF-CHE,GF-ECO,GF-ENG,GF-ENV,GF-LIF,GF-MAT,GF-PHY,GF-SOC
2018,27.42,14.17,46.18,16.95,33.55,24.42,19.28,16.43,16.49,17.95,27.73,9.68,21.74,19.10,19.17,12.64,21.43,16.30,24.70
2019,28.64,15.30,37.24,19.23,38.10,24.19,18.93,20.65,24.31,17.49,29.43,12.07,9.09,22.73,13.45,20.95,20.00,18.92,22.78
2020,30.06,14.99,27.39,17.40,33.14,23.99,19.01,18.56,17.53,15.21,28.41,6.45,25.00,15.60,14.58,18.98,8.33,14.08,27.27
2021,,,,25.89,31.71,34.60,25.56,22.73,20.25,20.54,32.33,23.08,33.33,17.14,12.61,14.29,15.38,11.59,30.23
2022,,,,21.63,25.20,24.24,20.85,19.57,22.37,20.45,23.49,16.67,18.18,15.85,12.94,15.53,18.18,10.53,27.37
2023,,,,22.72,41.32,27.76,23.73,18.54,26.25,22.77,29.18,19.30,25.00,9.59,11.90,15.38,22.22,11.84,23.68
2024,,,,21.43,35.80,24.81,18.32,18.77,28.57,17.64,28.29,8.33,26.67,22.02,7.48,9.09,0.00,6.36,18.81
2025,,,,4.87,15.04,5.17,5.40,4.78,6.40,3.48,10.07,1.49,0.00,2.33,3.60,4.15,0.00,4.67,5.28
